2013 Ranking,2015 Ranking,Country,Excel Calculated Curve,Excel Sigmoid,Excel Size,color,t
10,5,Vietnam,6.344707106849976,0.7310585786300049,5,-5,1.0
10,5,Vietnam,5.912127619031782,0.8175744761936437,5,-5,1.5
10,5,Vietnam,5.596014610110588,0.8807970779778823,5,-5,2.0
10,5,Vietnam,5.379290900106217,0.9241418199787566,5,-5,2.5
10,5,Vietnam,5.237129365887833,0.9525741268224334,5,-5,3.0
10,5,Vietnam,5.146561153756782,0.9706877692486436,5,-5,3.5
10,5,Vietnam,5.089931049810458,0.9820137900379085,5,-5,4.0
10,5,Vietnam,5.054934713152966,0.9890130573694068,5,-5,4.5
10,5,Vietnam,5.033464254621424,0.9933071490757153,5,-5,5.0
10,5,Vietnam,5.02035068857948,0.995929862284104,5,-5,5.5
11,11,Poland,11.0,0.0024726231566347743,0,0,-6.0
11,11,Poland,11.0,0.004070137715896128,0,0,-5.5
11,11,Poland,11.0,0.0066928509242848554,0,0,-5.0
11,11,Poland,11.0,0.01098694263059318,0,0,-4.5
11,11,Poland,11.0,0.01798620996209156,0,0,-4.0
11,11,Poland,11.0,0.02931223075135632,0,0,-3.5
11,11,Poland,11.0,0.04742587317756678,0,0,-3.0
11,11,Poland,11.0,0.07585818002124355,0,0,-2.5
11,11,Poland,11.0,0.11920292202211755,0,0,-2.0
11,11,Poland,11.0,0.18242552380635635,0,0,-1.5
11,11,Poland,11.0,0.2689414213699951,0,0,-1.0
11,11,Poland,11.0,0.3775406687981454,0,0,-0.5
11,11,Poland,11.0,0.5,0,0,0.0
11,11,Poland,11.0,0.6224593312018546,0,0,0.5
11,11,Poland,11.0,0.7310585786300049,0,0,1.0
11,11,Poland,11.0,0.8175744761936437,0,0,1.5
11,11,Poland,11.0,0.8807970779778823,0,0,2.0
11,11,Poland,11.0,0.9241418199787566,0,0,2.5
11,11,Poland,11.0,0.9525741268224334,0,0,3.0
11,11,Poland,11.0,0.9706877692486436,0,0,3.5
11,11,Poland,11.0,0.9820137900379085,0,0,4.0
11,11,Poland,11.0,0.9890130573694068,0,0,4.5
11,11,Poland,11.0,0.9933071490757153,0,0,5.0
11,11,Poland,11.0,0.995929862284104,0,0,5.5
12,12,Estonia,12.0,0.0024726231566347743,0,0,-6.0
12,12,Estonia,12.0,0.004070137715896128,0,0,-5.5
12,12,Estonia,12.0,0.0066928509242848554,0,0,-5.0
12,12,Estonia,12.0,0.01098694263059318,0,0,-4.5
12,12,Estonia,12.0,0.01798620996209156,0,0,-4.0
12,12,Estonia,12.0,0.02931223075135632,0,0,-3.5
12,12,Estonia,12.0,0.04742587317756678,0,0,-3.0
12,12,Estonia,12.0,0.07585818002124355,0,0,-2.5
12,12,Estonia,12.0,0.11920292202211755,0,0,-2.0
12,12,Estonia,12.0,0.18242552380635635,0,0,-1.5
12,12,Estonia,12.0,0.2689414213699951,0,0,-1.0
12,12,Estonia,12.0,0.3775406687981454,0,0,-0.5
12,12,Estonia,12.0,0.5,0,0,0.0
12,12,Estonia,12.0,0.6224593312018546,0,0,0.5
12,12,Estonia,12.0,0.7310585786300049,0,0,1.0
12,12,Estonia,12.0,0.8175744761936437,0,0,1.5
12,12,Estonia,12.0,0.8807970779778823,0,0,2.0
12,12,Estonia,12.0,0.9241418199787566,0,0,2.5
12,12,Estonia,12.0,0.9525741268224334,0,0,3.0
12,12,Estonia,12.0,0.9706877692486436,0,0,3.5
12,12,Estonia,12.0,0.9820137900379085,0,0,4.0
12,12,Estonia,12.0,0.9890130573694068,0,0,4.5
12,12,Estonia,12.0,0.9933071490757153,0,0,5.0
12,12,Estonia,12.0,0.995929862284104,0,0,5.5
13,15,Botswana,13.00494524631327,0.0024726231566347743,2,2,-6.0
13,15,Botswana,13.008140275431792,0.004070137715896128,2,2,-5.5
13,15,Botswana,13.01338570184857,0.0066928509242848554,2,2,-5.0
13,15,Botswana,13.021973885261186,0.01098694263059318,2,2,-4.5
13,15,Botswana,13.035972419924184,0.01798620996209156,2,2,-4.0
13,15,Botswana,13.058624461502713,0.02931223075135632,2,2,-3.5
13,15,Botswana,13.094851746355134,0.04742587317756678,2,2,-3.0
13,15,Botswana,13.151716360042487,0.07585818002124355,2,2,-2.5
13,15,Botswana,13.238405844044236,0.11920292202211755,2,2,-2.0
13,15,Botswana,13.364851047612714,0.18242552380635635,2,2,-1.5
